Datetime,Close,BB_upper,BB_middle,BB_lower,RSI,ADX,DI+,DI-,Volatility
2024-07-26 00:19:00+01:00,0.654,0.65416,0.65394,0.65373,51.63,0.0,43.73579,14.04319,29.69261
2024-07-26 00:20:00+01:00,0.65415,0.65419,0.65396,0.65372,57.12,0.0,47.68656,12.88597,34.80059
2024-07-26 00:21:00+01:00,0.65406,0.65419,0.65397,0.65375,53.15,0.0,45.02243,12.62973,32.3927
2024-07-26 00:22:00+01:00,0.65419,0.65422,0.65399,0.65375,57.75,0.0,49.10631,11.69156,37.41474
2024-07-26 00:23:00+01:00,0.65404,0.65421,0.654,0.6538,51.61,0.0,45.05217,12.33278,32.71939
2024-07-26 00:24:00+01:00,0.65415,0.65422,0.65401,0.65381,55.31,0.0,46.88168,11.50866,35.37302
2024-07-26 00:25:00+01:00,0.65406,0.65421,0.65403,0.65385,51.7,0.0,43.53226,11.14861,32.38365
2024-07-26 00:26:00+01:00,0.65419,0.65423,0.65404,0.65386,56.17,0.0,47.68737,10.32825,37.35912
2024-07-26 00:27:00+01:00,0.6541,0.65422,0.65405,0.65389,52.57,55.04011,44.1859,10.26005,33.92584
2024-07-26 00:28:00+01:00,0.65424,0.65425,0.65407,0.65388,56.9,55.90086,48.27591,9.5082,38.76771
2024-07-26 00:29:00+01:00,0.65415,0.65425,0.65408,0.65391,53.45,56.70013,45.68417,8.99775,36.68643
2024-07-26 00:30:00+01:00,0.65428,0.65428,0.65409,0.6539,57.54,57.73544,49.37892,8.3086,41.07032
2024-07-26 00:31:00+01:00,0.65412,0.65427,0.6541,0.65393,51.56,58.43757,45.09585,8.72897,36.36688
2024-07-26 00:32:00+01:00,0.65424,0.65429,0.65411,0.65393,55.25,59.28341,46.57704,8.12958,38.44746
2024-07-26 00:33:00+01:00,0.65406,0.65428,0.65411,0.65394,49.2,59.44466,42.20687,10.04846,32.15841
2024-07-26 00:34:00+01:00,0.65419,0.65429,0.65412,0.65394,53.39,59.87791,44.77353,9.33014,35.44339
2024-07-26 00:35:00+01:00,0.65406,0.65428,0.65412,0.65396,49.03,60.17645,41.38894,9.06769,32.32125
2024-07-26 00:36:00+01:00,0.65419,0.65429,0.65413,0.65397,53.15,60.7922,45.15962,8.348,36.81162
2024-07-26 00:37:00+01:00,0.65409,0.65428,0.65413,0.65398,49.89,61.36397,42.72549,7.89804,34.82745
2024-07-26 00:38:00+01:00,0.65428,0.6543,0.65414,0.65398,55.3,62.28206,48.23461,7.13834,41.09626
2024-07-26 00:39:00+01:00,0.65415,0.6543,0.65415,0.654,51.24,63.13457,45.05246,6.66741,38.38505
2024-07-26 00:40:00+01:00,0.65428,0.65431,0.65416,0.654,54.81,64.14861,48.37557,6.184,42.19157
