Datetime,Close,BB_upper,BB_middle,BB_lower,RSI,ADX,DI+,DI-,Volatility
2024-08-19 00:19:00+01:00,1.29441,1.29444,1.29421,1.29399,69.53,0.0,62.11048,37.88952,24.22095
2024-08-19 00:20:00+01:00,1.29438,1.29446,1.29422,1.29398,64.47,0.0,58.34725,41.65275,16.69451
2024-08-19 00:21:00+01:00,1.29436,1.29447,1.29423,1.29398,62.06,0.0,56.51648,43.48352,13.03297
2024-08-19 00:22:00+01:00,1.29423,1.29447,1.29423,1.29399,46.88,0.0,44.45596,55.54404,11.08809
2024-08-19 00:23:00+01:00,1.29421,1.29447,1.29423,1.29399,45.39,0.0,43.21884,56.78116,13.56232
2024-08-19 00:24:00+01:00,1.29425,1.29447,1.29424,1.294,48.89,0.0,46.42969,53.57031,7.14063
2024-08-19 00:25:00+01:00,1.29425,1.29447,1.29425,1.29402,48.89,0.0,46.42969,53.57031,7.14063
2024-08-19 00:26:00+01:00,1.29425,1.29447,1.29425,1.29404,48.89,0.0,46.42969,53.57031,7.14063
2024-08-19 00:27:00+01:00,1.29423,1.29447,1.29426,1.29405,47.01,17.29977,44.84602,55.15398,10.30796
2024-08-19 00:28:00+01:00,1.29425,1.29447,1.29426,1.29406,49.12,16.52119,46.80019,53.19981,6.39962
2024-08-19 00:29:00+01:00,1.29425,1.29446,1.29427,1.29407,49.12,15.79822,46.80019,53.19981,6.39962
2024-08-19 00:30:00+01:00,1.29425,1.29446,1.29427,1.29408,49.12,15.12689,46.80019,53.19981,6.39962
2024-08-19 00:31:00+01:00,1.29425,1.29446,1.29428,1.2941,49.12,14.50352,46.80019,53.19981,6.39962
2024-08-19 00:32:00+01:00,1.29425,1.29445,1.29428,1.29411,49.12,13.92467,46.80019,53.19981,6.39962
2024-08-19 00:33:00+01:00,1.29425,1.29445,1.29429,1.29413,49.12,13.38716,46.80019,53.19981,6.39962
2024-08-19 00:34:00+01:00,1.29425,1.29444,1.29429,1.29415,49.12,12.88805,46.80019,53.19981,6.39962
2024-08-19 00:35:00+01:00,1.29423,1.29444,1.29429,1.29414,46.04,12.80019,44.17104,55.82896,11.65792
2024-08-19 00:36:00+01:00,1.29418,1.29442,1.29428,1.29413,38.26,13.69185,37.35826,62.64174,25.28347
2024-08-19 00:37:00+01:00,1.2942,1.29439,1.29426,1.29414,41.8,14.04929,40.65196,59.34804,18.69607
2024-08-19 00:38:00+01:00,1.2942,1.29437,1.29426,1.29414,41.8,14.38121,40.65196,59.34804,18.69607
2024-08-19 00:39:00+01:00,1.29425,1.29434,1.29425,1.29415,51.44,13.38349,49.79338,50.20662,0.41323
2024-08-19 00:40:00+01:00,1.29428,1.29431,1.29424,1.29417,56.62,13.11525,54.81406,45.18594,9.62812
2024-08-19 00:41:00+01:00,1.29426,1.29428,1.29424,1.29419,53.54,12.46607,52.01333,47.98667,4.02667
2024-08-19 00:42:00+01:00,1.29425,1.29428,1.29424,1.29419,50.58,11.67556,49.30055,50.69945,1.3989
2024-08-19 00:43:00+01:00,1.2942,1.29429,1.29424,1.29419,42.95,11.95302,42.22001,57.77999,15.55998
2024-08-19 00:44:00+01:00,1.29423,1.29429,1.29424,1.29419,48.53,11.43827,47.62672,52.37328,4.74656
2024-08-19 00:45:00+01:00,1.29426,1.29429,1.29424,1.29419,53.44,10.96715,52.42133,47.57867,4.84266
2024-08-19 00:46:00+01:00,1.29435,1.29431,1.29424,1.29417,62.95,11.87446,61.83471,38.16529,23.66941
2024-08-19 00:47:00+01:00,1.29446,1.29437,1.29425,1.29413,71.67,13.96847,70.59529,29.40471,41.19057
2024-08-19 00:48:00+01:00,1.2946,1.29446,1.29427,1.29408,78.04,16.83924,77.07967,22.92033,54.15935
2024-08-19 00:49:00+01:00,1.29452,1.2945,1.29428,1.29407,67.79,18.08202,67.11908,32.88092,34.23815
2024-08-19 00:50:00+01:00,1.2945,1.29453,1.2943,1.29406,65.93,18.97746,65.30908,34.69092,30.61817
2024-08-19 00:51:00+01:00,1.29457,1.29458,1.29431,1.29405,69.54,20.32637,68.93109,31.06891,37.86219
2024-08-19 00:52:00+01:00,1.29458,1.29462,1.29433,1.29404,70.39,21.7007,69.7835,30.2165,39.56699
2024-08-19 00:53:00+01:00,1.29465,1.29466,1.29435,1.29404,73.55,23.43166,72.96707,27.03293,45.93413
2024-08-19 00:54:00+01:00,1.29453,1.29468,1.29436,1.29404,61.22,23.3099,60.86354,39.13646,21.72708
2024-08-19 00:55:00+01:00,1.29453,1.2947,1.29438,1.29406,61.22,23.19684,60.86354,39.13646,21.72708
2024-08-19 00:56:00+01:00,1.29455,1.29471,1.2944,1.29408,62.27,23.2417,61.91241,38.08759,23.82481
2024-08-19 00:57:00+01:00,1.29455,1.29472,1.29442,1.29411,62.27,23.28335,61.91241,38.08759,23.82481
2024-08-19 00:58:00+01:00,1.29457,1.29473,1.29443,1.29414,63.41,23.48605,63.06056,36.93944,26.12111
2024-08-19 00:59:00+01:00,1.29467,1.29476,1.29445,1.29415,69.41,24.53202,69.06484,30.93516,38.12968
2024-08-19 01:00:00+01:00,1.29458,1.29476,1.29447,1.29417,60.52,24.24804,60.27816,39.72184,20.55631
2024-08-19 01:01:00+01:00,1.29477,1.2948,1.2945,1.29419,69.72,25.29967,69.48545,30.51455,38.9709
2024-08-19 01:02:00+01:00,1.2949,1.29486,1.29453,1.2942,74.4,26.94631,74.17627,25.82373,48.35255
2024-08-19 01:03:00+01:00,1.29477,1.29487,1.29456,1.29425,63.79,26.97023,63.64062,36.35938,27.28125
2024-08-19 01:04:00+01:00,1.29487,1.29489,1.29459,1.29429,67.53,27.52715,67.38352,32.61648,34.76704
2024-08-19 01:05:00+01:00,1.29475,1.29488,1.29461,1.29434,59.77,26.94151,59.66413,40.33587,19.32825
2024-08-19 01:06:00+01:00,1.29463,1.29487,1.29463,1.29439,53.19,25.46249,53.11759,46.88241,6.23518
2024-08-19 01:07:00+01:00,1.2947,1.29487,1.29464,1.29441,56.16,24.51324,56.08648,43.91352,12.17297
2024-08-19 01:08:00+01:00,1.29477,1.29488,1.29465,1.29441,58.96,24.03164,58.88542,41.11458,17.77084
2024-08-19 01:09:00+01:00,1.29483,1.2949,1.29466,1.29442,61.61,23.96233,61.53067,38.46933,23.06133
2024-08-19 01:10:00+01:00,1.29483,1.29492,1.29468,1.29444,61.61,23.89797,61.53067,38.46933,23.06133
2024-08-19 01:11:00+01:00,1.29485,1.29494,1.29469,1.29445,62.31,23.93833,62.23146,37.76854,24.46292
2024-08-19 01:12:00+01:00,1.2949,1.29496,1.29471,1.29446,64.42,24.27705,64.3402,35.6598,28.6804
2024-08-19 01:13:00+01:00,1.2949,1.29499,1.29472,1.29446,64.42,24.59157,64.3402,35.6598,28.6804
2024-08-19 01:14:00+01:00,1.29498,1.29502,1.29474,1.29447,67.9,25.38028,67.81677,32.18323,35.63355
2024-08-19 01:15:00+01:00,1.29502,1.29505,1.29477,1.29449,69.19,26.29758,69.11124,30.88876,38.22249
2024-08-19 01:16:00+01:00,1.29514,1.2951,1.2948,1.29449,73.26,27.73105,73.18304,26.81696,46.36608
2024-08-19 01:17:00+01:00,1.29514,1.29514,1.29483,1.29451,73.26,29.06212,73.18304,26.81696,46.36608
2024-08-19 01:18:00+01:00,1.29515,1.29518,1.29486,1.29454,73.83,30.38016,73.75735,26.24265,47.5147
2024-08-19 01:19:00+01:00,1.29512,1.29521,1.29488,1.29455,70.57,31.13946,70.50519,29.49481,41.01038
2024-08-19 01:20:00+01:00,1.29509,1.29521,1.2949,1.2946,67.38,31.38949,67.31988,32.68012,34.63976
2024-08-19 01:21:00+01:00,1.29512,1.29524,1.29492,1.29461,68.89,31.83825,68.83612,31.16388,37.67223
2024-08-19 01:22:00+01:00,1.29515,1.29527,1.29494,1.2946,70.38,32.46754,70.32415,29.67585,40.64831
2024-08-19 01:23:00+01:00,1.29512,1.29528,1.29495,1.29462,66.93,32.56055,66.88482,33.11518,33.76964
2024-08-19 01:24:00+01:00,1.2951,1.2953,1.29496,1.29463,65.21,32.40174,65.16864,34.83136,30.33727
2024-08-19 01:25:00+01:00,1.29507,1.2953,1.29498,1.29466,61.81,31.76836,61.76717,38.23283,23.53435
2024-08-19 01:26:00+01:00,1.29503,1.29528,1.295,1.29472,58.5,30.70904,58.46895,41.53105,16.93791
2024-08-19 01:27:00+01:00,1.29502,1.29526,1.29502,1.29477,56.88,29.49355,56.84608,43.15392,13.69215
2024-08-19 01:28:00+01:00,1.29477,1.29526,1.29502,1.29477,39.2,28.93108,39.19053,60.80947,21.61893
2024-08-19 01:29:00+01:00,1.29485,1.29526,1.29502,1.29478,45.3,27.53776,45.28764,54.71236,9.42472
2024-08-19 01:30:00+01:00,1.29498,1.29525,1.29502,1.2948,53.37,26.05005,53.3549,46.6451,6.7098
2024-08-19 01:31:00+01:00,1.29502,1.29525,1.29503,1.29482,55.15,24.9226,55.13286,44.86714,10.26572
2024-08-19 01:32:00+01:00,1.29505,1.29524,1.29504,1.29484,56.92,24.12841,56.90198,43.09802,13.80396
2024-08-19 01:33:00+01:00,1.29503,1.29524,1.29505,1.29485,55.73,23.22136,55.71485,44.28515,11.4297
2024-08-19 01:34:00+01:00,1.29507,1.29524,1.29505,1.29486,57.63,22.65115,57.61923,42.38077,15.23846
2024-08-19 01:35:00+01:00,1.29517,1.29526,1.29506,1.29486,62.8,22.85945,62.78365,37.21635,25.56731
2024-08-19 01:36:00+01:00,1.29515,1.29526,1.29506,1.29486,61.45,22.86067,61.43829,38.56171,22.87659
2024-08-19 01:37:00+01:00,1.2951,1.29525,1.29506,1.29486,57.47,22.29352,57.46028,42.53972,14.92056
2024-08-19 01:38:00+01:00,1.29514,1.29525,1.29506,1.29486,59.36,22.03683,59.34993,40.65007,18.69986
2024-08-19 01:39:00+01:00,1.2951,1.29525,1.29506,1.29486,56.65,21.4114,56.64038,43.35962,13.28075
2024-08-19 01:40:00+01:00,1.29512,1.29525,1.29506,1.29486,57.69,20.97926,57.68071,42.31929,15.36141
2024-08-19 01:41:00+01:00,1.29515,1.29526,1.29506,1.29486,59.77,20.87505,59.76019,40.23981,19.52038
2024-08-19 01:42:00+01:00,1.29515,1.29526,1.29506,1.29486,59.77,20.77829,59.76019,40.23981,19.52038
2024-08-19 01:43:00+01:00,1.29529,1.29529,1.29507,1.29485,67.22,21.75327,67.21401,32.78599,34.42801
2024-08-19 01:44:00+01:00,1.29527,1.29531,1.29508,1.29484,65.58,22.4244,65.57452,34.42548,31.14903
2024-08-19 01:45:00+01:00,1.29534,1.29535,1.29509,1.29483,68.85,23.51444,68.84254,31.15746,37.68508
