Datetime,Close,BB_upper,BB_middle,BB_lower,RSI,ADX,DI+,DI-,Volatility
2024-07-25 00:20:00+01:00,1.29029,1.29036,1.29023,1.2901,54.83,0.0,50.51205,49.48795,1.02411
2024-07-25 00:21:00+01:00,1.29022,1.29036,1.29023,1.2901,46.41,0.0,44.68136,55.31864,10.63728
2024-07-25 00:22:00+01:00,1.29032,1.29037,1.29023,1.2901,57.06,0.0,53.37968,46.62032,6.75936
2024-07-25 00:23:00+01:00,1.29037,1.29039,1.29024,1.2901,61.2,0.0,57.0068,42.9932,14.01361
2024-07-25 00:24:00+01:00,1.29039,1.29041,1.29025,1.2901,62.51,0.0,58.18036,41.81964,16.36072
2024-07-25 00:25:00+01:00,1.29037,1.29042,1.29027,1.29011,60.32,0.0,56.51893,43.48107,13.03786
2024-07-25 00:26:00+01:00,1.29036,1.29043,1.29027,1.29012,58.15,0.0,54.84433,45.15567,9.68867
2024-07-25 00:27:00+01:00,1.29036,1.29044,1.29028,1.29012,58.15,0.0,54.84433,45.15567,9.68867
2024-07-25 00:28:00+01:00,1.29031,1.29043,1.29029,1.29014,51.65,7.49932,49.69665,50.30335,0.60669
2024-07-25 00:29:00+01:00,1.29027,1.29043,1.29029,1.29015,47.81,7.4562,46.55218,53.44782,6.89565
2024-07-25 00:30:00+01:00,1.29031,1.29043,1.29029,1.29015,51.68,6.92907,49.96181,50.03819,0.07638
2024-07-25 00:31:00+01:00,1.29029,1.29042,1.2903,1.29017,49.69,6.67663,48.30259,51.69741,3.39481
2024-07-25 00:32:00+01:00,1.29026,1.2904,1.29031,1.29021,45.91,6.9013,45.08896,54.91104,9.82207
2024-07-25 00:33:00+01:00,1.29029,1.29039,1.29031,1.29023,50.01,6.58546,48.76024,51.23976,2.47952
2024-07-25 00:34:00+01:00,1.29027,1.29039,1.29031,1.29023,48.04,6.53507,47.05997,52.94003,5.88006
2024-07-25 00:35:00+01:00,1.29026,1.29039,1.29031,1.29022,46.1,6.72993,45.36845,54.63155,9.2631
