Datetime,Close,BB_upper,BB_middle,BB_lower,RSI,ADX,DI+,DI-,Volatility
2024-07-26 00:19:00+01:00,153.688,153.7874,153.66215,153.5369,48.18,0.0,17.02482,27.80966,10.78484
2024-07-26 00:20:00+01:00,153.606,153.76232,153.6524,153.54248,39.05,0.0,15.38656,32.09492,16.70837
2024-07-26 00:21:00+01:00,153.58299,153.75899,153.64685,153.53471,36.93,0.0,14.55236,33.16907,18.6167
2024-07-26 00:22:00+01:00,153.509,153.76515,153.6448,153.52445,31.1,0.0,13.18998,36.67881,23.48883
2024-07-26 00:23:00+01:00,153.522,153.77135,153.6399,153.50845,33.1,0.0,12.55707,36.17016,23.61309
2024-07-26 00:24:00+01:00,153.52499,153.77431,153.63375,153.49319,33.58,0.0,14.67449,34.53988,19.86539
2024-07-26 00:25:00+01:00,153.575,153.77332,153.6305,153.48768,41.14,0.0,16.00907,32.33522,16.32615
2024-07-26 00:26:00+01:00,153.57401,153.77228,153.6274,153.48252,41.04,0.0,15.48604,31.27881,15.79277
2024-07-26 00:27:00+01:00,153.49699,153.77669,153.625,153.47331,34.12,31.93568,13.87023,33.88483,20.0146
2024-07-26 00:28:00+01:00,153.431,153.79009,153.6165,153.44291,29.52,33.60939,12.03825,41.90575,29.8675
2024-07-26 00:29:00+01:00,153.464,153.79511,153.6092,153.42329,34.29,35.16355,10.98101,38.22544,27.24443
2024-07-26 00:30:00+01:00,153.55499,153.79174,153.60495,153.41816,45.28,34.13753,20.7012,31.57409,10.87289
2024-07-26 00:31:00+01:00,153.617,153.78832,153.60295,153.41759,51.26,32.9844,20.38495,29.33067,8.94572
2024-07-26 00:32:00+01:00,153.58299,153.78321,153.5993,153.41539,48.15,31.91365,19.65187,28.2759,8.62402
2024-07-26 00:33:00+01:00,153.636,153.7777,153.59695,153.4162,52.94,30.56803,20.57222,26.76104,6.18881
2024-07-26 00:34:00+01:00,153.58099,153.76407,153.5906,153.41713,47.99,29.37115,19.41292,25.63478,6.22186
2024-07-26 00:35:00+01:00,153.571,153.73003,153.5801,153.43017,47.12,28.70319,18.33774,27.51792,9.18019
2024-07-26 00:36:00+01:00,153.564,153.7073,153.5722,153.43709,46.49,28.08294,17.56597,26.35979,8.79383
2024-07-26 00:37:00+01:00,153.55299,153.69194,153.5659,153.43986,45.46,27.22175,17.82711,24.63164,6.80453
2024-07-26 00:38:00+01:00,153.506,153.67318,153.557,153.44082,41.26,26.86286,16.92633,26.58461,9.65828
2024-07-26 00:39:00+01:00,153.548,153.64942,153.55,153.45057,46.06,26.50723,16.14177,25.18594,9.04417
2024-07-26 00:40:00+01:00,153.539,153.64276,153.54665,153.45054,45.21,25.72433,17.29153,23.65776,6.36623
2024-07-26 00:41:00+01:00,153.621,153.64887,153.54855,153.44823,53.63,24.03783,20.2629,21.13785,0.87495
2024-07-26 00:42:00+01:00,153.629,153.65896,153.55455,153.45013,54.37,22.52124,21.596,20.4173,1.1787
2024-07-26 00:43:00+01:00,153.64101,153.67024,153.5605,153.45075,55.51,21.1695,21.21086,19.73798,1.47288
2024-07-26 00:44:00+01:00,153.685,153.68948,153.5685,153.44752,59.51,20.68172,24.695,18.50053,6.19447
2024-07-26 00:45:00+01:00,153.67101,153.70228,153.5733,153.44432,57.73,20.37875,24.65076,17.68987,6.96089
2024-07-26 00:46:00+01:00,153.668,153.71343,153.578,153.44257,57.34,19.88352,23.70848,18.08864,5.61985
2024-07-26 00:47:00+01:00,153.672,153.72273,153.58675,153.45077,57.75,19.42367,23.08521,17.6131,5.47211
2024-07-26 00:48:00+01:00,153.66299,153.71778,153.59835,153.47892,56.42,19.13687,23.12511,16.95013,6.17498
2024-07-26 00:49:00+01:00,153.646,153.71126,153.60745,153.50364,53.89,18.11368,21.75695,19.75911,1.99784
2024-07-26 00:50:00+01:00,153.606,153.711,153.61,153.509,48.4,17.12873,20.37265,22.21427,1.84162
2024-07-26 00:51:00+01:00,153.629,153.7119,153.6106,153.5093,51.46,16.21413,19.50897,21.27251,1.76354
2024-07-26 00:52:00+01:00,153.593,153.71194,153.6111,153.51025,46.78,16.17029,17.80479,24.38687,6.58208
2024-07-26 00:53:00+01:00,153.601,153.70962,153.60935,153.50908,47.91,16.12959,16.83065,23.0526,6.22196
2024-07-26 00:54:00+01:00,153.63699,153.71222,153.61215,153.51208,52.79,15.24325,20.04036,21.58931,1.54896
2024-07-26 00:55:00+01:00,153.65601,153.71634,153.6164,153.51646,55.18,14.26515,20.75788,20.12422,0.63366
2024-07-26 00:56:00+01:00,153.674,153.72181,153.6219,153.52199,57.37,13.92316,23.09738,19.09837,3.99901
2024-07-26 00:57:00+01:00,153.69501,153.72849,153.629,153.52951,59.85,14.27561,25.88363,17.67043,8.2132
2024-07-26 00:58:00+01:00,153.71201,153.72777,153.6393,153.55083,61.78,14.60289,24.64794,16.82684,7.8211
2024-07-26 00:59:00+01:00,153.69701,153.72801,153.64675,153.56549,59.08,14.97117,24.02866,16.09976,7.92889
2024-07-26 01:00:00+01:00,153.71899,153.72647,153.65575,153.58503,61.72,15.90899,25.20529,14.14701,11.05828
2024-07-26 01:01:00+01:00,153.681,153.7284,153.65875,153.5891,55.1,17.64473,16.32722,38.28734,21.96012
2024-07-26 01:02:00+01:00,153.739,153.74068,153.66425,153.58782,61.83,18.552,18.39375,34.42127,16.02752
2024-07-26 01:03:00+01:00,153.662,153.741,153.6653,153.5896,50.91,19.40403,16.95061,31.81441,14.8638
2024-07-26 01:04:00+01:00,153.608,153.74051,153.66145,153.58239,44.92,20.80457,15.73343,35.86136,20.12793
